Ref,Val,Package,PosX,PosY,Rot,Side
"","","",-156.700000,-95.250000,180.000000,bottom
"","","",-121.450000,-90.500000,180.000000,bottom
"","","",-156.950000,-70.750000,180.000000,bottom
"","","",-139.450000,-45.500000,180.000000,bottom
"","","",-139.450000,-70.750000,180.000000,bottom
"","","",-174.450000,-95.000000,180.000000,bottom
"","","",-174.450000,-90.000000,180.000000,bottom
"","","",-121.700000,-66.000000,180.000000,bottom
"","","",-139.200000,-95.250000,180.000000,bottom
"","","",-156.950000,-45.500000,180.000000,bottom
"","","",-156.950000,-40.500000,180.000000,bottom
"","","",-121.700000,-40.750000,180.000000,bottom
"","","",-121.700000,-71.000000,180.000000,bottom
"","","",-156.950000,-65.750000,180.000000,bottom
"","","",-121.450000,-95.500000,180.000000,bottom
"","","",-139.200000,-90.250000,180.000000,bottom
"","","",-139.450000,-40.500000,180.000000,bottom
"","","",-156.700000,-90.250000,180.000000,bottom
"","","",-121.700000,-45.750000,180.000000,bottom
"","","",-139.450000,-65.750000,180.000000,bottom
"","","",-174.700000,-70.500000,180.000000,bottom
"","","",-174.700000,-65.500000,180.000000,bottom
"","","",-174.700000,-40.250000,180.000000,bottom
"","","",-174.700000,-45.250000,180.000000,bottom
"","","",205.450000,-113.000000,0.000000,top
"","","",199.450000,-105.250000,0.000000,top
"","","",199.450000,-102.500000,0.000000,top
"","","",198.200000,-50.250000,0.000000,top
"","","",198.200000,-43.750000,0.000000,top
"C1","100nF","C_0603_1608Metric",220.550000,-97.800000,0.000000,top
"C2","100nF","C_0603_1608Metric",217.000000,-97.800000,180.000000,top
"C3","10uF","CP_EIA-3528-12_Kemet-T",220.800000,-47.400000,90.000000,top
"C4","1uF","C_0603_1608Metric",217.800000,-76.600000,90.000000,top
"C5","100nF","C_0603_1608Metric",220.200000,-77.400000,0.000000,top
"C7","1uF","C_0603_1608Metric",221.400000,-60.800000,0.000000,top
"C8","100nF","C_0603_1608Metric",214.800000,-76.700000,90.000000,top
"C9","1uF","C_0603_1608Metric",224.100000,-58.200000,-90.000000,top
"C10","22uF","CP_EIA-7260-28_AVX-M_Pad2.68x6.30mm_HandSolder",229.300000,-68.600000,0.000000,top
"C11","100nF","C_0603_1608Metric",230.850000,-77.825000,90.000000,top
"C12","100nF","C_0603_1608Metric",203.300000,-108.000000,0.000000,top
"C14","100nF","C_0603_1608Metric",212.200000,-46.400000,-90.000000,top
"C15","100nF","C_0603_1608Metric",224.200000,-112.500000,0.000000,top
"C16","100nF","C_0603_1608Metric",210.700000,-113.100000,0.000000,top
"D1","1N5711UR","D_MELF",221.050000,-55.000000,90.000000,top
"D2","1N5711UR","D_MELF",209.400000,-46.800000,-90.000000,top
"F1","2A","Fuse_1206_3216Metric",217.600000,-50.600000,-90.000000,top
"J1","Jack-DC","BarrelJack_CUI_PJ-102AH_Horizontal",224.850000,-48.650000,90.000000,top
"J3","B4B-XH-A_LF__SN_","PinHeader_1x4_P2.5mm_Drill1.1mm",213.850000,-27.105000,0.000000,top
"J4","B2B-XH-A_LF__SN_","PinHeader_1x2_P2.5mm_Drill1.1mm",204.405000,-48.500000,90.000000,top
"Q1","DMG1012T","SOT-223",217.500000,-38.400000,0.000000,top
"R1","3k","R_0603_1608Metric",213.350000,-58.350000,180.000000,top
"R2","1k","R_0603_1608Metric",213.350000,-56.450000,0.000000,top
"R3","10k","R_0603_1608Metric",226.000000,-80.400000,180.000000,top
"R4","10k","R_0603_1608Metric",226.000000,-82.000000,180.000000,top
"R5","10k","R_0603_1608Metric",211.800000,-37.400000,-90.000000,top
"R6","10k","R_0603_1608Metric",229.800000,-108.200000,90.000000,top
"R7","10k","R_0603_1608Metric",213.600000,-113.800000,-90.000000,top
"SW1","SW_Push","SW_PUSH_6mm",222.250000,-109.500000,90.000000,top
"SW2","SW_Push","SW_PUSH_6mm",209.200000,-109.500000,90.000000,top
"U1","PIC16F1512-ISS","SSOP-28_5.3x10.2mm_P0.65mm",217.500000,-84.650000,90.000000,top
"U2","AMS1117-5.0","SOT-223-3_TabPin2",229.100000,-59.500000,-90.000000,top
"U3","LMT85DCK","SOT-353_SC-70-5",203.300000,-105.200000,90.000000,top
"X1","16MHz","Crystal_SMD_HC49-SD",218.600000,-94.150000,0.000000,top
